agent_id,case_group,case_subgroup,instruction,associated_url,allow_url_reading,active,horas_cache_pagina,response_mode
c1330a20-c057-4764-8121-6268ca02f280,Atención ciudadana,"Ayuntamiento (general): dirección, teléfono, email, horario de atención al público","Puedes contactar con el Ayuntamiento de Alguazas llamando al 968 620 022, de lunes a viernes en horario de atención al público. También puedes escribir a info@alguazas.es.",,False,True,,directo
c1330a20-c057-4764-8121-6268ca02f280,Atención ciudadana,"Cita previa: pedir cita con técnico municipal, informador juvenil, agente de empleo","Para pedir cita previa con un técnico municipal, el informador juvenil o el agente de empleo, entra aquí y en un momento la tienes reservada: https://sede.alguazas.regiondemurcia.es/3webc/gestionCita.do?opcion=0&entidad=30007&tlf=1",https://sede.alguazas.regiondemurcia.es/3webc/gestionCita.do?opcion=0&entidad=30007&tlf=1,False,True,,directo
c1330a20-c057-4764-8121-6268ca02f280,Comercio,"OMIC, información al consumidor, reclamaciones de consumo","Para presentar una reclamación de consumo, pide cita con la OMIC llamando al 654 009 877. Ten en cuenta que sólo atienden al ciudadano los martes de 9:00 a 14:00h.",,False,True,,directo
c1330a20-c057-4764-8121-6268ca02f280,Seguridad Ciudadana,Seguridad ciudadana,Para notificar una denuncia o incidencia de seguridad ciudadana puedes notificarlo aquí y lo atendemos cuanto antes: https://alguazas.es/incidencias-seguridad/,https://alguazas.es/incidencias-seguridad/,False,True,,directo
c1330a20-c057-4764-8121-6268ca02f280,Obras y Servicios,"Incidencias urbanas: farola fundida, losa o acera rota, calle sucia, mobiliario urbano","¿Una farola fundida, una losa rota o una calle sucia? Puedes notificarlo online aquí: https://participa.alguazas.es/acceder/ o llamando al teléfono 968 62 00 22 del ayuntamiento en horario de 9:00 a 14:00 horas.",https://participa.alguazas.es/acceder/,False,True,,directo
c1330a20-c057-4764-8121-6268ca02f280,Seguridad Ciudadana,"Policía Local - teléfono, contacto (seguridad, emergencias no graves, multas, denuncias)",Para contactar con la Policía Local puedes llamar al 968 620 987.,,False,True,,directo
c1330a20-c057-4764-8121-6268ca02f280,Seguridad Ciudadana,"Guardia Civil - teléfono, contacto (emergencias, seguridad, denuncias graves)",¿Necesitas hablar con la Guardia Civil? Llama al 062.,,False,True,,directo
c1330a20-c057-4764-8121-6268ca02f280,Obras y Servicios,"Ecoparque Municipal - teléfono, contacto (reciclaje, punto limpio, residuos, escombros)",El teléfono de Ecoparque Municipal es el 654 009 879.,,False,True,,directo
c1330a20-c057-4764-8121-6268ca02f280,Gestión tributaria,"Oficina de Recaudación - teléfono, contacto (impuestos, tributos, tasas, pagos, IBI)",Para contactar con la Oficina de Recaudación puedes llamar al 968 388 264.,,False,True,,directo
c1330a20-c057-4764-8121-6268ca02f280,Salud Pública,"Centro de Salud - teléfono, contacto (médico, sanidad, consulta médica, urgencias)",¿Necesitas hablar con el Centro de Salud? Llama al 968 621 212.,,False,True,,directo
c1330a20-c057-4764-8121-6268ca02f280,Deportes,"Concejalía de Deportes - teléfono, contacto (deporte, instalaciones deportivas, actividades deportivas)",El teléfono de Concejalía de Deportes es el 609 201 423.,,False,True,,directo
c1330a20-c057-4764-8121-6268ca02f280,Juventud,"Servicio de Información Juvenil - teléfono, contacto (juventud, jóvenes, información juvenil, carnet joven)",Para contactar con el Servicio de Información Juvenil puedes llamar al 675 091 487.,,False,True,,directo
c1330a20-c057-4764-8121-6268ca02f280,Atención ciudadana,"Juzgado de Paz - teléfono, contacto (justicia, trámites judiciales, registro civil)",¿Necesitas hablar con el Juzgado de Paz? Llama al 968 621 086.,,False,True,,directo
c1330a20-c057-4764-8121-6268ca02f280,Obras y Servicios,"Servicio Municipal de Aguas - teléfono, contacto (agua, suministro de agua, averías de agua, facturas de agua)",El teléfono de Servicio Municipal de Aguas es el 968 649 050.,,False,True,,directo
